,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12
001,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,4.0,1.0,2.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.5,5.0,3.5,1.0,1.0,0.0,0.0,0.0
003,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.5,5.0,5.0,3.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0
004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,4.5,5.5,3.0,0.0,3.0,1.5,0.0,0.0,0.0
005,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.5,3.5,1.5,3.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
006,0.0,0.0,0.0,1.0,1.0,6.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0
008,0.0,2.0,4.0,1.0,3.5,10.5,6.5,2.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.5,2.5,2.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0
010,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.5,4.5,5.5,6.5,6.0,1.5,0.0,3.0,0.0,0.0,0.0,0.0
011,0.0,0.0,0.0,0.0,1.0,0.0,6.5,5.0,2.5,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
012,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
013,0.0,0.0,0.0,0.0,0.0,1.5,3.5,3.5,2.0,3.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
014,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,0.5,3.0,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015,0.0,0.0,0.0,0.0,0.0,2.0,2.5,0.0,4.0,4.0,2.5,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,3.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0
017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,5.5,5.5,6.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0
